Subject Code,Student Number
GECSTS-18,23-12030-203
GECSTS-18,23-12301-232
GECSTS-18,23-12332-232
GECSTS-18,23-10022-302
GECSTS-18,23-02223-434
GECSTS-18,23-54843-334
GECSTS-18,23-12999-232
GECSTS-18,23-43843-434
GECSTS-18,23-54922-343
GECSTS-18,23-42883-334
GECSTS-18,23-43934-231
GECSTS-18,23-37820-200
GECSTS-18,23-42938-438
GECSTS-18,23-43990-344
GECSTS-18,23-48712-323
GECSTS-18,23-49348-239
GECSTS-18,23-43842-331
GECSTS-18,23-49348-232
GECSTS-18,23-57845-259
GECSTS-18,23-54387-232
GECSTS-18,23-43784-234
GECSTS-18,23-85893-292
GECSTS-18,23-49124-433
GECSTS-18,23-48391-243
GECSTS-18,21-38273-232
GECSTS-18,23-48734-233
